gene	GO
LOC111333935	GO:0000030,GO:0000032,GO:0003674,GO:0003824,GO:0004169,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0005886,GO:0006056,GO:0006057,GO:0006464,GO:0006486,GO:0006493,GO:0006508,GO:0006515,GO:0006807,GO:0006810,GO:0006886,GO:0006950,GO:0007154,GO:0007155,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009267,GO:0009405,GO:0009605,GO:0009892,GO:0009966,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010498,GO:0010605,GO:0010646,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0016740,GO:0016757,GO:0016758,GO:0019222,GO:0019538,GO:0022610,GO:0023051,GO:0030162,GO:0030163,GO:0030447,GO:0031224,GO:0031323,GO:0031324,GO:0031501,GO:0031502,GO:0031505,GO:0031506,GO:0031589,GO:0031667,GO:0031668,GO:0031669,GO:0031984,GO:0032268,GO:0032269,GO:0032527,GO:0032991,GO:0033036,GO:0033554,GO:0034613,GO:0034645,GO:0034976,GO:0035268,GO:0035269,GO:0035690,GO:0035966,GO:0035967,GO:0036170,GO:0036211,GO:0036503,GO:0040007,GO:0042175,GO:0042221,GO:0042493,GO:0042546,GO:0042594,GO:0042710,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0044010,GO:0044011,GO:0044036,GO:0044038,GO:0044085,GO:0044110,GO:0044116,GO:0044117,GO:0044182,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0044764,GO:0044845,GO:0045184,GO:0045229,GO:0045861,GO:0046907,GO:0048519,GO:0048523,GO:0048583,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051179,GO:0051234,GO:0051246,GO:0051248,GO:0051603,GO:0051641,GO:0051649,GO:0051703,GO:0051704,GO:0051716,GO:0051788,GO:0060255,GO:0065007,GO:0070085,GO:0070589,GO:0070727,GO:0070887,GO:0071218,GO:0071310,GO:0071496,GO:0071554,GO:0071555,GO:0071702,GO:0071704,GO:0071705,GO:0071712,GO:0071840,GO:0071852,GO:0071944,GO:0080090,GO:0080134,GO:0080135,GO:0090605,GO:0090609,GO:0097502,GO:0097582,GO:0097583,GO:0097584,GO:0097585,GO:0098796,GO:0098827,GO:1900101,GO:1901135,GO:1901137,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901698,GO:1902494,GO:1905897,GO:1990234
LOC111333936	GO:0005509
LOC111333937	GO:0000785,GO:0000978,GO:0000981,GO:0001708,GO:0003700,GO:0005634,GO:0006355,GO:0006357,GO:0045893
LOC111333938	GO:0004930,GO:0007186,GO:0016020
LOC111333939	GO:0001523,GO:0001889,GO:0001972,GO:0002237,GO:0002526,GO:0003008,GO:0003674,GO:0003824,GO:0004857,GO:0005080,GO:0005488,GO:0005496,GO:0005501,GO:0005504,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005640,GO:0005737,GO:0005783,GO:0005789,GO:0005886,GO:0005887,GO:0005975,GO:0005996,GO:0006063,GO:0006082,GO:0006109,GO:0006629,GO:0006631,GO:0006706,GO:0006711,GO:0006720,GO:0006721,GO:0006725,GO:0006778,GO:0006787,GO:0006789,GO:0006805,GO:0006807,GO:0006950,GO:0006952,GO:0006953,GO:0006954,GO:0007275,GO:0007584,GO:0007588,GO:0007600,GO:0007606,GO:0007608,GO:0008144,GO:0008150,GO:0008152,GO:0008194,GO:0008202,GO:0008209,GO:0008210,GO:0008289,GO:0009056,GO:0009410,GO:0009593,GO:0009605,GO:0009607,GO:0009617,GO:0009636,GO:0009698,GO:0009719,GO:0009725,GO:0009804,GO:0009812,GO:0009892,GO:0009987,GO:0009991,GO:0010033,GO:0010243,GO:0010565,GO:0010675,GO:0010677,GO:0010817,GO:0012505,GO:0014070,GO:0015020,GO:0016020,GO:0016021,GO:0016042,GO:0016101,GO:0016740,GO:0016757,GO:0016758,GO:0016999,GO:0017001,GO:0017144,GO:0018879,GO:0019216,GO:0019217,GO:0019218,GO:0019222,GO:0019439,GO:0019585,GO:0019748,GO:0019752,GO:0019840,GO:0019867,GO:0019899,GO:0019900,GO:0019901,GO:0030234,GO:0031090,GO:0031099,GO:0031100,GO:0031224,GO:0031226,GO:0031323,GO:0031324,GO:0031406,GO:0031667,GO:0031960,GO:0031965,GO:0031967,GO:0031968,GO:0031975,GO:0031984,GO:0032355,GO:0032496,GO:0032501,GO:0032502,GO:0032787,GO:0032870,GO:0032991,GO:0033013,GO:0033015,GO:0033293,GO:0033574,GO:0033993,GO:0034641,GO:0034663,GO:0034754,GO:0035690,GO:0036094,GO:0042167,GO:0042168,GO:0042175,GO:0042178,GO:0042221,GO:0042440,GO:0042445,GO:0042447,GO:0042493,GO:0042537,GO:0042573,GO:0042594,GO:0042802,GO:0042803,GO:0043086,GO:0043167,GO:0043168,GO:0043177,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043434,GO:0043436,GO:0044092,GO:0044237,GO:0044238,GO:0044248,GO:0044255,GO:0044270,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0044877,GO:0045471,GO:0045833,GO:0045912,GO:0045922,GO:0045939,GO:0046149,GO:0046226,GO:0046271,GO:0046483,GO:0046677,GO:0046700,GO:0046982,GO:0046983,GO:0048513,GO:0048519,GO:0048523,GO:0048545,GO:0048731,GO:0048732,GO:0048856,GO:0050789,GO:0050790,GO:0050794,GO:0050877,GO:0050896,GO:0051186,GO:0051187,GO:0051338,GO:0051348,GO:0051384,GO:0051552,GO:0051606,GO:0051704,GO:0051707,GO:0051716,GO:0052695,GO:0052696,GO:0052697,GO:0060416,GO:0061008,GO:0062012,GO:0062014,GO:0065007,GO:0065008,GO:0065009,GO:0070069,GO:0070887,GO:0070980,GO:0071236,GO:0071310,GO:0071361,GO:0071375,GO:0071378,GO:0071383,GO:0071384,GO:0071385,GO:0071392,GO:0071394,GO:0071396,GO:0071407,GO:0071417,GO:0071466,GO:0071495,GO:0071704,GO:0071944,GO:0080090,GO:0097159,GO:0097237,GO:0097305,GO:0097306,GO:0098588,GO:0098772,GO:0098805,GO:0098827,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901652,GO:1901653,GO:1901654,GO:1901655,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1904223,GO:1904224,GO:2001029,GO:2001030
LOC111333941	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0015645,GO:0016053,GO:0016874,GO:0016877,GO:0016878,GO:0019752,GO:0031956,GO:0032787,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:0072330,GO:1901576
LOC111333942	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009987,GO:0015645,GO:0016053,GO:0016874,GO:0016877,GO:0016878,GO:0019752,GO:0031956,GO:0032787,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:0072330,GO:1901576
LOC111333943	GO:0000003,GO:0000122,GO:0000785,GO:0000902,GO:0000904,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0001012,GO:0001067,GO:0001077,GO:0001085,GO:0001102,GO:0001221,GO:0001222,GO:0001224,GO:0001226,GO:0001227,GO:0001228,GO:0001525,GO:0001568,GO:0001569,GO:0001570,GO:0001655,GO:0001704,GO:0001706,GO:0001707,GO:0001708,GO:0001709,GO:0001763,GO:0001764,GO:0001944,GO:0001947,GO:0002009,GO:0002011,GO:0002064,GO:0002065,GO:0002066,GO:0002376,GO:0002520,GO:0003002,GO:0003006,GO:0003007,GO:0003008,GO:0003012,GO:0003013,GO:0003015,GO:0003143,GO:0003148,GO:0003151,GO:0003170,GO:0003171,GO:0003175,GO:0003176,GO:0003177,GO:0003179,GO:0003180,GO:0003184,GO:0003188,GO:0003193,GO:0003197,GO:0003203,GO:0003205,GO:0003206,GO:0003207,GO:0003208,GO:0003209,GO:0003215,GO:0003230,GO:0003231,GO:0003272,GO:0003279,GO:0003283,GO:0003313,GO:0003344,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0003712,GO:0003713,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006928,GO:0006935,GO:0006936,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007304,GO:0007368,GO:0007369,GO:0007389,GO:0007399,GO:0007402,GO:0007409,GO:0007411,GO:0007413,GO:0007417,GO:0007442,GO:0007444,GO:0007447,GO:0007492,GO:0007498,GO:0007507,GO:0007517,GO:0007548,GO:0008015,GO:0008037,GO:0008038,GO:0008134,GO:0008150,GO:0008152,GO:0008283,GO:0008284,GO:0008406,GO:0009058,GO:0009059,GO:0009605,GO:0009653,GO:0009790,GO:0009791,GO:0009799,GO:0009855,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009953,GO:0009966,GO:0009968,GO:0009987,GO:0010002,GO:0010453,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010646,GO:0010648,GO:0010717,GO:0010990,GO:0010991,GO:0014016,GO:0014017,GO:0014018,GO:0014019,GO:0014706,GO:0014855,GO:0016043,GO:0016070,GO:0016202,GO:0016477,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019953,GO:0021510,GO:0021515,GO:0021517,GO:0021522,GO:0021524,GO:0021953,GO:0022008,GO:0022412,GO:0022414,GO:0023051,GO:0023057,GO:0030030,GO:0030097,GO:0030154,GO:0030182,GO:0030334,GO:0030335,GO:0030381,GO:0030703,GO:0030707,GO:0030855,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031333,GO:0032501,GO:0032502,GO:0032504,GO:0032774,GO:0032879,GO:0032989,GO:0032990,GO:0033002,GO:0033613,GO:0034641,GO:0034645,GO:0034654,GO:0035050,GO:0035051,GO:0035162,GO:0035218,GO:0035223,GO:0035239,GO:0035265,GO:0035295,GO:0035844,GO:0035922,GO:0036306,GO:0040007,GO:0040008,GO:0040011,GO:0040012,GO:0040017,GO:0042127,GO:0042221,GO:0042330,GO:0042659,GO:0042684,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043254,GO:0043565,GO:0044087,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0044703,GO:0045137,GO:0045138,GO:0045165,GO:0045595,GO:0045844,GO:0045892,GO:0045893,GO:0045927,GO:0045934,GO:0045935,GO:0045944,GO:0046483,GO:0046620,GO:0046622,GO:0046661,GO:0048332,GO:0048368,GO:0048369,GO:0048370,GO:0048468,GO:0048477,GO:0048513,GO:0048514,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048546,GO:0048562,GO:0048565,GO:0048568,GO:0048583,GO:0048585,GO:0048589,GO:0048598,GO:0048608,GO:0048609,GO:0048620,GO:0048634,GO:0048636,GO:0048638,GO:0048639,GO:0048644,GO:0048646,GO:0048663,GO:0048665,GO:0048666,GO:0048667,GO:0048699,GO:0048729,GO:0048731,GO:0048738,GO:0048754,GO:0048812,GO:0048845,GO:0048856,GO:0048858,GO:0048863,GO:0048864,GO:0048865,GO:0048866,GO:0048867,GO:0048869,GO:0048870,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051128,GO:0051129,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051239,GO:0051240,GO:0051252,GO:0051253,GO:0051254,GO:0051270,GO:0051272,GO:0051674,GO:0051704,GO:0051890,GO:0051960,GO:0055008,GO:0055017,GO:0055021,GO:0055023,GO:0055024,GO:0055025,GO:0055123,GO:0060038,GO:0060039,GO:0060043,GO:0060045,GO:0060255,GO:0060411,GO:0060413,GO:0060415,GO:0060419,GO:0060420,GO:0060421,GO:0060429,GO:0060485,GO:0060537,GO:0060562,GO:0060577,GO:0060841,GO:0060911,GO:0060973,GO:0061061,GO:0061138,GO:0061371,GO:0061458,GO:0061525,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0072132,GO:0072358,GO:0072359,GO:0080090,GO:0090092,GO:0090101,GO:0090304,GO:0090598,GO:0097156,GO:0097159,GO:0097485,GO:0097659,GO:0106030,GO:0120036,GO:0120039,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901861,GO:1901863,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1905207,GO:1905314,GO:1990837,GO:2000026,GO:2000112,GO:2000113,GO:2000145,GO:2000147,GO:2000736,GO:2000793,GO:2001141
LOC111333944	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464,GO:0047429
LOC111333946	GO:0000226,GO:0001558,GO:0001568,GO:0001654,GO:0001701,GO:0001736,GO:0001737,GO:0001738,GO:0001745,GO:0001824,GO:0001825,GO:0001829,GO:0001830,GO:0001838,GO:0001841,GO:0001843,GO:0001944,GO:0002009,GO:0002165,GO:0003002,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005737,GO:0005813,GO:0005815,GO:0005829,GO:0005856,GO:0005886,GO:0006355,GO:0006606,GO:0006810,GO:0006886,GO:0006913,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007154,GO:0007163,GO:0007164,GO:0007165,GO:0007166,GO:0007267,GO:0007275,GO:0007369,GO:0007389,GO:0007399,GO:0007423,GO:0007444,GO:0007472,GO:0007476,GO:0007478,GO:0007480,GO:0007507,GO:0007552,GO:0007560,GO:0008037,GO:0008038,GO:0008088,GO:0008104,GO:0008134,GO:0008150,GO:0008270,GO:0008361,GO:0008544,GO:0008593,GO:0009653,GO:0009790,GO:0009791,GO:0009792,GO:0009798,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009913,GO:0009948,GO:0009952,GO:0009966,GO:0009968,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010604,GO:0010605,GO:0010629,GO:0010646,GO:0010648,GO:0010720,GO:0010769,GO:0010770,GO:0010970,GO:0010975,GO:0010976,GO:0012505,GO:0014020,GO:0015031,GO:0015630,GO:0015833,GO:0016020,GO:0016043,GO:0016055,GO:0016327,GO:0016328,GO:0016331,GO:0016348,GO:0017038,GO:0019219,GO:0019222,GO:0021915,GO:0022008,GO:0022603,GO:0022604,GO:0023051,GO:0023052,GO:0023057,GO:0030010,GO:0030030,GO:0030111,GO:0030154,GO:0030162,GO:0030178,GO:0030182,GO:0030307,GO:0030516,GO:0030705,GO:0030855,GO:0030951,GO:0030952,GO:0031090,GO:0031175,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031329,GO:0031331,GO:0031344,GO:0031346,GO:0031396,GO:0031398,GO:0031399,GO:0031401,GO:0031965,GO:0031967,GO:0031975,GO:0032101,GO:0032103,GO:0032268,GO:0032270,GO:0032434,GO:0032436,GO:0032501,GO:0032502,GO:0032535,GO:0032879,GO:0033036,GO:0033365,GO:0034504,GO:0034613,GO:0035088,GO:0035107,GO:0035114,GO:0035120,GO:0035148,GO:0035218,GO:0035220,GO:0035239,GO:0035282,GO:0035285,GO:0035295,GO:0035315,GO:0035316,GO:0035317,GO:0035567,GO:0035904,GO:0036011,GO:0040008,GO:0040012,GO:0040017,GO:0042067,GO:0042176,GO:0042886,GO:0043009,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045165,GO:0045184,GO:0045185,GO:0045197,GO:0045595,GO:0045596,GO:0045597,GO:0045661,GO:0045662,GO:0045664,GO:0045666,GO:0045732,GO:0045746,GO:0045773,GO:0045862,GO:0045892,GO:0045927,GO:0045934,GO:0046907,GO:0048468,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048569,GO:0048583,GO:0048584,GO:0048585,GO:0048592,GO:0048598,GO:0048638,GO:0048639,GO:0048646,GO:0048666,GO:0048699,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048749,GO:0048856,GO:0048869,GO:0050767,GO:0050769,GO:0050770,GO:0050772,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0050920,GO:0050921,GO:0051093,GO:0051094,GO:0051128,GO:0051130,GO:0051169,GO:0051170,GO:0051171,GO:0051172,GO:0051173,GO:0051179,GO:0051234,GO:0051235,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051270,GO:0051272,GO:0051641,GO:0051649,GO:0051716,GO:0051890,GO:0051892,GO:0051960,GO:0051962,GO:0060026,GO:0060027,GO:0060071,GO:0060255,GO:0060284,GO:0060429,GO:0060562,GO:0060606,GO:0060828,GO:0060840,GO:0060976,GO:0061136,GO:0061245,GO:0061387,GO:0065007,GO:0065008,GO:0070593,GO:0070727,GO:0071702,GO:0071705,GO:0071840,GO:0071944,GO:0072175,GO:0072358,GO:0072359,GO:0072594,GO:0080090,GO:0090066,GO:0090090,GO:0090175,GO:0090596,GO:0098590,GO:0098930,GO:0099111,GO:0120035,GO:0120036,GO:0198738,GO:1901800,GO:1902667,GO:1902669,GO:1902679,GO:1903050,GO:1903052,GO:1903320,GO:1903322,GO:1903362,GO:1903364,GO:1903506,GO:1903507,GO:1905114,GO:1905207,GO:1905208,GO:1905330,GO:2000026,GO:2000027,GO:2000058,GO:2000060,GO:2000112,GO:2000113,GO:2000690,GO:2000691,GO:2000736,GO:2000737,GO:2001141
LOC111333947	GO:0001667,GO:0001755,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005912,GO:0005924,GO:0005925,GO:0005938,GO:0006928,GO:0007275,GO:0008150,GO:0008270,GO:0008285,GO:0009888,GO:0009987,GO:0014031,GO:0014032,GO:0014033,GO:0016020,GO:0016477,GO:0030054,GO:0030055,GO:0030154,GO:0032501,GO:0032502,GO:0032991,GO:0040011,GO:0042127,GO:0043167,GO:0043169,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0048468,GO:0048513,GO:0048519,GO:0048523,GO:0048731,GO:0048762,GO:0048856,GO:0048863,GO:0048864,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0051179,GO:0051674,GO:0060485,GO:0065007,GO:0070161,GO:0071944,GO:0099568
LOC111333948	GO:0000003,GO:0000086,GO:0000226,GO:0000278,GO:0000280,GO:0001578,GO:0003006,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005813,GO:0005814,GO:0005815,GO:0005829,GO:0005856,GO:0005929,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007026,GO:0007049,GO:0007098,GO:0007099,GO:0007100,GO:0007275,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0007288,GO:0007346,GO:0007399,GO:0007405,GO:0008017,GO:0008022,GO:0008092,GO:0008150,GO:0008283,GO:0008356,GO:0009987,GO:0010389,GO:0010457,GO:0010564,GO:0010638,GO:0010639,GO:0015630,GO:0015631,GO:0016043,GO:0017145,GO:0019953,GO:0022008,GO:0022402,GO:0022406,GO:0022412,GO:0022414,GO:0022607,GO:0030030,GO:0030031,GO:0030154,GO:0030317,GO:0031023,GO:0031110,GO:0031111,GO:0031114,GO:0031344,GO:0031346,GO:0032053,GO:0032501,GO:0032502,GO:0032504,GO:0032886,GO:0033043,GO:0035082,GO:0036064,GO:0036445,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043242,GO:0043244,GO:0044085,GO:0044087,GO:0044089,GO:0044422,GO:0044424,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044450,GO:0044463,GO:0044464,GO:0044703,GO:0044770,GO:0044772,GO:0044782,GO:0044839,GO:0045165,GO:0045724,GO:0048103,GO:0048232,GO:0048285,GO:0048468,GO:0048515,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048609,GO:0048699,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051130,GO:0051179,GO:0051298,GO:0051299,GO:0051301,GO:0051493,GO:0051494,GO:0051640,GO:0051641,GO:0051674,GO:0051704,GO:0051726,GO:0055057,GO:0055059,GO:0060271,GO:0060491,GO:0061351,GO:0065007,GO:0070507,GO:0070925,GO:0071840,GO:0072089,GO:0097711,GO:0097722,GO:0098534,GO:0098722,GO:0120025,GO:0120031,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:0140014,GO:0140056,GO:1901879,GO:1901880,GO:1901987,GO:1901990,GO:1902017,GO:1902115,GO:1902117,GO:1902749,GO:1902855,GO:1902857,GO:1902903,GO:1902904,GO:1903047
LOC111333949	GO:0000003,GO:0000278,GO:0000741,GO:0006996,GO:0006997,GO:0006998,GO:0007049,GO:0007084,GO:0007338,GO:0007344,GO:0008150,GO:0009566,GO:0009987,GO:0010256,GO:0016043,GO:0019953,GO:0022402,GO:0022414,GO:0031468,GO:0044703,GO:0048284,GO:0051704,GO:0061024,GO:0061025,GO:0061472,GO:0071840,GO:0090174,GO:1903047
LOC111333950	GO:0000151,GO:0005085,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0019538,GO:0019941,GO:0030163,GO:0032012,GO:0032991,GO:0043170,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044464,GO:0051603,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1990234
LOC111333951	GO:0000977,GO:0000981,GO:0006357,GO:0032502,GO:0046983
