NCBI GeneID	Symbol	Description	Gene Type	Annotation Genomic Range Accession 	SwissProt Accessions
111328494	LOC111328494	UAP56-interacting factor-like	PROTEIN_CODING	NW_019217900.1	
111328497	LOC111328497	uncharacterized LOC111328497	PROTEIN_CODING	NW_019217900.1	
111328512	LOC111328512	uncharacterized LOC111328512	PROTEIN_CODING	NW_019217901.1	
111328519	LOC111328519	protein DD3-3-like	PROTEIN_CODING	NW_019217901.1	
111328526	LOC111328526	universal stress protein PHOS34-like	PROTEIN_CODING	NW_019217901.1	
111328534	LOC111328534	uncharacterized LOC111328534	PROTEIN_CODING	NW_019217789.1	
111328544	LOC111328544	uncharacterized LOC111328544	PROTEIN_CODING	NW_019217901.1	
111328545	LOC111328545	myosin-8-like	PROTEIN_CODING	NW_019217901.1	
111328546	LOC111328546	peroxidasin homolog	PROTEIN_CODING	NW_019217901.1	
111328550	LOC111328550	protein LSM12 homolog	PROTEIN_CODING	NW_019217901.1	
111328564	LOC111328564	E3 ubiquitin-protein ligase DZIP3-like	PROTEIN_CODING	NW_019217902.1	
111328566	LOC111328566	uncharacterized LOC111328566	PROTEIN_CODING	NW_019217902.1	
111328596	LOC111328596	uncharacterized LOC111328596	PROTEIN_CODING	NW_019217902.1	
111328599	LOC111328599	uncharacterized LOC111328599	PROTEIN_CODING	NW_019217902.1	
111328609	LOC111328609	uncharacterized LOC111328609	PROTEIN_CODING	NW_019217902.1	
111328614	LOC111328614	translation initiation factor eIF-2B subunit delta-like	PROTEIN_CODING	NW_019217903.1	
111328661	LOC111328661	uncharacterized LOC111328661	PROTEIN_CODING	NW_019217903.1	
111328687	LOC111328687	uncharacterized LOC111328687	PROTEIN_CODING	NW_019217904.1	
111328693	LOC111328693	DNA damage-regulated autophagy modulator protein 1-like	PROTEIN_CODING	NW_019217904.1	
111328697	LOC111328697	uncharacterized LOC111328697	PROTEIN_CODING	NW_019217904.1	
111328709	LOC111328709	C2 domain-containing protein 2-like	PROTEIN_CODING	NW_019217904.1	
111328803	LOC111328803	uncharacterized LOC111328803	PROTEIN_CODING	NW_019217906.1	
111328812	LOC111328812	protein FAM227B-like	PROTEIN_CODING	NW_019217906.1	
111328825	LOC111328825	uncharacterized LOC111328825	PROTEIN_CODING	NW_019217906.1	
111328828	LOC111328828	uncharacterized LOC111328828	PROTEIN_CODING	NW_019217906.1	
111328830	LOC111328830	uncharacterized LOC111328830	PROTEIN_CODING	NW_019217906.1	
111328837	LOC111328837	uncharacterized LOC111328837	PROTEIN_CODING	NW_019217906.1	
111328842	LOC111328842	uncharacterized LOC111328842	PROTEIN_CODING	NW_019217906.1	
111328849	LOC111328849	uncharacterized LOC111328849	PROTEIN_CODING	NW_019217789.1	
111328854	LOC111328854	uncharacterized LOC111328854	PROTEIN_CODING	NW_019217907.1	
111328855	LOC111328855	uncharacterized protein CXorf38 homolog	PROTEIN_CODING	NW_019217907.1	
111328871	LOC111328871	protein FAM102B-like	PROTEIN_CODING	NW_019217907.1	
111328967	LOC111328967	cilia- and flagella-associated protein 251-like	PROTEIN_CODING	NW_019217909.1	
111328977	LOC111328977	plexin domain-containing protein 1-like	PROTEIN_CODING	NW_019217909.1	
111329031	LOC111329031	uncharacterized LOC111329031	PROTEIN_CODING	NW_019217910.1	
111329037	LOC111329037	protein DPCD-like	PROTEIN_CODING	NW_019217910.1	
111329041	LOC111329041	uncharacterized LOC111329041	PROTEIN_CODING	NW_019217910.1	
111329066	LOC111329066	TM2 domain-containing protein 2-like	PROTEIN_CODING	NW_019217910.1	
111329069	LOC111329069	protein tilB homolog	PROTEIN_CODING	NW_019217911.1	
111329084	LOC111329084	uncharacterized LOC111329084	PROTEIN_CODING	NW_019217911.1	
111329114	LOC111329114	uncharacterized LOC111329114	PROTEIN_CODING	NW_019217911.1	
111329126	LOC111329126	uncharacterized LOC111329126	PROTEIN_CODING	NW_019217911.1	
111329132	LOC111329132	uncharacterized LOC111329132	PROTEIN_CODING	NW_019217912.1	
111329135	LOC111329135	uncharacterized LOC111329135	PROTEIN_CODING	NW_019217912.1	
111329139	LOC111329139	uncharacterized LOC111329139	PROTEIN_CODING	NW_019217912.1	
111329142	LOC111329142	uncharacterized LOC111329142	PROTEIN_CODING	NW_019217912.1	
111329144	LOC111329144	fatty-acid amide hydrolase 2-like	PROTEIN_CODING	NW_019217789.1	
111329154	LOC111329154	spidroin-1-like	PROTEIN_CODING	NW_019217912.1	
111329159	LOC111329159	uncharacterized LOC111329159	PROTEIN_CODING	NW_019217912.1	
111329160	LOC111329160	uncharacterized LOC111329160	PROTEIN_CODING	NW_019217912.1	
111329161	LOC111329161	uncharacterized LOC111329161	PROTEIN_CODING	NW_019217912.1	
111329169	LOC111329169	bone morphogenetic protein 1-like	PROTEIN_CODING	NW_019217912.1	
111329170	LOC111329170	keratin-associated protein 5-4-like	PROTEIN_CODING	NW_019217912.1	
111329177	LOC111329177	translation initiation factor IF-2-like	PROTEIN_CODING	NW_019217912.1	
111329180	LOC111329180	keratin-associated protein 10-6-like	PROTEIN_CODING	NW_019217912.1	
111329181	LOC111329181	uncharacterized LOC111329181	PROTEIN_CODING	NW_019217912.1	
111329186	LOC111329186	uncharacterized LOC111329186	PROTEIN_CODING	NW_019217913.1	
111329188	LOC111329188	uncharacterized LOC111329188	PROTEIN_CODING	NW_019217913.1	
111329189	LOC111329189	uncharacterized LOC111329189	PROTEIN_CODING	NW_019217913.1	
111329193	LOC111329193	uncharacterized LOC111329193	PROTEIN_CODING	NW_019217913.1	
111329209	LOC111329209	uncharacterized LOC111329209	PROTEIN_CODING	NW_019217913.1	
111329225	LOC111329225	uncharacterized LOC111329225	PROTEIN_CODING	NW_019217913.1	
111329230	LOC111329230	uncharacterized LOC111329230	PROTEIN_CODING	NW_019217913.1	
111329231	LOC111329231	tensin-2-like	PROTEIN_CODING	NW_019217913.1	
111329237	LOC111329237	uncharacterized LOC111329237	PROTEIN_CODING	NW_019217913.1	
111329264	LOC111329264	uncharacterized LOC111329264	PROTEIN_CODING	NW_019217914.1	
111329275	LOC111329275	coiled-coil domain-containing protein 180-like	PROTEIN_CODING	NW_019217914.1	
111329295	LOC111329295	collagen alpha-1(XXII) chain-like	PROTEIN_CODING	NW_019217914.1	
111329302	LOC111329302	myb-like protein X	PROTEIN_CODING	NW_019217914.1	
111329305	LOC111329305	uncharacterized LOC111329305	PROTEIN_CODING	NW_019217914.1	
111329318	LOC111329318	uncharacterized LOC111329318	PROTEIN_CODING	NW_019217915.1	
111329328	LOC111329328	uncharacterized LOC111329328	PROTEIN_CODING	NW_019217915.1	
111329338	LOC111329338	uncharacterized protein KIAA1841-like	PROTEIN_CODING	NW_019217915.1	
111329351	LOC111329351	uncharacterized LOC111329351	PROTEIN_CODING	NW_019217915.1	
111329359	LOC111329359	uncharacterized LOC111329359	PROTEIN_CODING	NW_019217916.1	
111329383	LOC111329383	uncharacterized LOC111329383	PROTEIN_CODING	NW_019217916.1	
111329386	LOC111329386	myosin-11-like	PROTEIN_CODING	NW_019217916.1	
111329392	LOC111329392	uncharacterized protein C1orf50 homolog	PROTEIN_CODING	NW_019217916.1	
111329400	LOC111329400	synaptotagmin-14-like	PROTEIN_CODING	NW_019217916.1	
111329408	LOC111329408	probable glycosyltransferase STELLO1	PROTEIN_CODING	NW_019217916.1	
111329410	LOC111329410	synaptotagmin-14-like	PROTEIN_CODING	NW_019217916.1	
111329417	LOC111329417	uncharacterized LOC111329417	PROTEIN_CODING	NW_019217916.1	
111329431	LOC111329431	uncharacterized LOC111329431	PROTEIN_CODING	NW_019217917.1	
111329433	LOC111329433	uncharacterized protein C2orf50-like	PROTEIN_CODING	NW_019217917.1	
111329446	LOC111329446	aspartic and glutamic acid-rich protein-like	PROTEIN_CODING	NW_019217917.1	
111329464	LOC111329464	UPF0728 protein v1g117062-like	PROTEIN_CODING	NW_019217917.1	
111329467	LOC111329467	uncharacterized LOC111329467	PROTEIN_CODING	NW_019217917.1	
111329478	LOC111329478	small integral membrane protein 15-like	PROTEIN_CODING	NW_019217918.1	
111329480	LOC111329480	myotubularin-related protein 10-like	PROTEIN_CODING	NW_019217918.1	
111329486	LOC111329486	UPF0577 protein KIAA1324-like homolog	PROTEIN_CODING	NW_019217918.1	
111329505	LOC111329505	disco-interacting protein 2-like	PROTEIN_CODING	NW_019217918.1	
111329525	LOC111329525	cingulin-like	PROTEIN_CODING	NW_019217919.1	
111329558	LOC111329558	uncharacterized LOC111329558	PROTEIN_CODING	NW_019217919.1	
111329589	LOC111329589	uncharacterized LOC111329589	PROTEIN_CODING	NW_019217789.1	
111329605	LOC111329605	uncharacterized LOC111329605	PROTEIN_CODING	NW_019217920.1	
111329610	LOC111329610	uncharacterized LOC111329610	PROTEIN_CODING	NW_019217920.1	
111329644	LOC111329644	uncharacterized LOC111329644	PROTEIN_CODING	NW_019217921.1	
111329649	LOC111329649	uncharacterized LOC111329649	PROTEIN_CODING	NW_019217789.1	
111329660	LOC111329660	uncharacterized LOC111329660	PROTEIN_CODING	NW_019217921.1	
111329674	LOC111329674	vacuolar protein sorting-associated protein 13B-like	PROTEIN_CODING	NW_019217921.1	
111329677	LOC111329677	uncharacterized LOC111329677	PROTEIN_CODING	NW_019217921.1	
111329686	LOC111329686	uncharacterized LOC111329686	PROTEIN_CODING	NW_019217921.1	
111329688	LOC111329688	uncharacterized LOC111329688	PROTEIN_CODING	NW_019217921.1	
111329689	LOC111329689	uncharacterized LOC111329689	PROTEIN_CODING	NW_019217921.1	
111329699	LOC111329699	mucin-2-like	PROTEIN_CODING	NW_019217922.1	
111329704	LOC111329704	uncharacterized LOC111329704	PROTEIN_CODING	NW_019217922.1	
111329714	LOC111329714	uncharacterized LOC111329714	PROTEIN_CODING	NW_019217789.1	
111329716	LOC111329716	omega-scoloptoxin-Ssm1a-like	PROTEIN_CODING	NW_019217922.1	
111329736	LOC111329736	uncharacterized LOC111329736	PROTEIN_CODING	NW_019217922.1	
111329744	LOC111329744	uncharacterized LOC111329744	PROTEIN_CODING	NW_019217923.1	
111329750	LOC111329750	uncharacterized LOC111329750	PROTEIN_CODING	NW_019217923.1	
111329764	LOC111329764	collagen alpha-2(IV) chain-like	PROTEIN_CODING	NW_019217923.1	
111329779	LOC111329779	collagen alpha-2(IV) chain-like	PROTEIN_CODING	NW_019217923.1	
111329782	LOC111329782	glutamate-rich protein 6-like	PROTEIN_CODING	NW_019217923.1	
111329785	LOC111329785	mannose-P-dolichol utilization defect 1 protein-like	PROTEIN_CODING	NW_019217923.1	
111329788	LOC111329788	collagen alpha chain-like	PROTEIN_CODING	NW_019217789.1	
111329795	LOC111329795	bis(5'-adenosyl)-triphosphatase enpp4-like	PROTEIN_CODING	NW_019217923.1	
111329838	LOC111329838	uncharacterized LOC111329838	PROTEIN_CODING	NW_019217924.1	
111329839	LOC111329839	glutaredoxin-like protein C5orf63 homolog	PROTEIN_CODING	NW_019217789.1	
111329842	LOC111329842	uncharacterized skeletal organic matrix protein 5-like	PROTEIN_CODING	NW_019217924.1	
111329853	LOC111329853	uncharacterized LOC111329853	PROTEIN_CODING	NW_019217925.1	
111329863	LOC111329863	transmembrane protein 147-like	PROTEIN_CODING	NW_019217925.1	
111329869	LOC111329869	zinc finger protein 511-like	PROTEIN_CODING	NW_019217925.1	
111329873	LOC111329873	uncharacterized LOC111329873	PROTEIN_CODING	NW_019217925.1	
111329904	LOC111329904	hemicentin-2-like	PROTEIN_CODING	NW_019217925.1	
111329927	LOC111329927	uncharacterized LOC111329927	PROTEIN_CODING	NW_019217926.1	
111329928	LOC111329928	uncharacterized LOC111329928	PROTEIN_CODING	NW_019217926.1	
111329950	LOC111329950	inactive carboxypeptidase-like protein X2	PROTEIN_CODING	NW_019217789.1	
111329959	LOC111329959	matrix metalloproteinase-9-like	PROTEIN_CODING	NW_019217789.1	
111329975	LOC111329975	transmembrane protein 128-like	PROTEIN_CODING	NW_019217927.1	
111330000	LOC111330000	uncharacterized LOC111330000	PROTEIN_CODING	NW_019217790.1	
111330013	LOC111330013	nucleotide exchange factor SIL1-like	PROTEIN_CODING	NW_019217927.1	
111330021	LOC111330021	uncharacterized protein C5orf34 homolog	PROTEIN_CODING	NW_019217790.1	
111330050	LOC111330050	uncharacterized LOC111330050	PROTEIN_CODING	NW_019217928.1	
111330056	LOC111330056	uncharacterized protein CXorf38 homolog	PROTEIN_CODING	NW_019217928.1	
111330066	LOC111330066	uncharacterized LOC111330066	PROTEIN_CODING	NW_019217928.1	
111330086	LOC111330086	uncharacterized LOC111330086	PROTEIN_CODING	NW_019217929.1	
111330091	LOC111330091	serine/arginine repetitive matrix protein 2-like	PROTEIN_CODING	NW_019217929.1	
111330092	LOC111330092	uncharacterized LOC111330092	PROTEIN_CODING	NW_019217790.1	
111330125	LOC111330125	uncharacterized LOC111330125	PROTEIN_CODING	NW_019217929.1	
111330131	LOC111330131	uncharacterized LOC111330131	PROTEIN_CODING	NW_019217929.1	
111330141	LOC111330141	uncharacterized LOC111330141	PROTEIN_CODING	NW_019217930.1	
111330146	LOC111330146	transmembrane protein 232-like	PROTEIN_CODING	NW_019217790.1	
111330165	LOC111330165	WAG22 antigen-like	PROTEIN_CODING	NW_019217930.1	
111330260	LOC111330260	uncharacterized protein C2orf73 homolog	PROTEIN_CODING	NW_019217932.1	
111330290	LOC111330290	uncharacterized LOC111330290	PROTEIN_CODING	NW_019217932.1	
111330297	LOC111330297	uncharacterized LOC111330297	PROTEIN_CODING	NW_019217932.1	
111330305	LOC111330305	uncharacterized LOC111330305	PROTEIN_CODING	NW_019217933.1	
111330309	LOC111330309	uncharacterized LOC111330309	PROTEIN_CODING	NW_019217933.1	
111330321	LOC111330321	uncharacterized LOC111330321	PROTEIN_CODING	NW_019217933.1	
111330355	LOC111330355	WASH complex subunit 2-like	PROTEIN_CODING	NW_019217790.1	
111330372	LOC111330372	uncharacterized LOC111330372	PROTEIN_CODING	NW_019217934.1	
111330374	LOC111330374	Sjoegren syndrome/scleroderma autoantigen 1-like	PROTEIN_CODING	NW_019217934.1	
111330377	LOC111330377	kielin/chordin-like protein	PROTEIN_CODING	NW_019217934.1	
111330398	LOC111330398	transmembrane protein 229b-like	PROTEIN_CODING	NW_019217934.1	
111330401	LOC111330401	uncharacterized protein CXorf65 homolog	PROTEIN_CODING	NW_019217790.1	
111330418	LOC111330418	protein CEBPZOS-like	PROTEIN_CODING	NW_019217934.1	
111330436	LOC111330436	coiled-coil domain-containing protein 97-like	PROTEIN_CODING	NW_019217934.1	
111330479	LOC111330479	uncharacterized protein C17orf105 homolog	PROTEIN_CODING	NW_019217790.1	
111330480	LOC111330480	uncharacterized LOC111330480	PROTEIN_CODING	NW_019217936.1	
111330535	LOC111330535	UPF0669 protein v1g209471-like	PROTEIN_CODING	NW_019217937.1	
111330547	LOC111330547	uncharacterized LOC111330547	PROTEIN_CODING	NW_019217937.1	
111330560	LOC111330560	crt homolog 1-like	PROTEIN_CODING	NW_019217937.1	
111330562	LOC111330562	crt homolog 2-like	PROTEIN_CODING	NW_019217937.1	
111330563	LOC111330563	uncharacterized LOC111330563	PROTEIN_CODING	NW_019217937.1	
111330564	LOC111330564	uncharacterized LOC111330564	PROTEIN_CODING	NW_019217937.1	
111330580	LOC111330580	uncharacterized LOC111330580	PROTEIN_CODING	NW_019217937.1	
111330583	LOC111330583	uncharacterized LOC111330583	PROTEIN_CODING	NW_019217938.1	
111330595	LOC111330595	uncharacterized LOC111330595	PROTEIN_CODING	NW_019217938.1	
111330600	LOC111330600	THAP domain-containing protein 4-like	PROTEIN_CODING	NW_019217938.1	
111330603	LOC111330603	uncharacterized LOC111330603	PROTEIN_CODING	NW_019217938.1	
111330607	LOC111330607	GRIP and coiled-coil domain-containing protein 2-like	PROTEIN_CODING	NW_019217938.1	
111330617	LOC111330617	uncharacterized LOC111330617	PROTEIN_CODING	NW_019217938.1	
111330618	LOC111330618	uncharacterized LOC111330618	PROTEIN_CODING	NW_019217938.1	
111330635	LOC111330635	protein N-lysine methyltransferase METTL21A-like	PROTEIN_CODING	NW_019217939.1	
111330644	LOC111330644	platelet binding protein GspB-like	PROTEIN_CODING	NW_019217939.1	
111330673	LOC111330673	centrosomal protein of 290 kDa-like	PROTEIN_CODING	NW_019217940.1	
111330674	LOC111330674	uncharacterized LOC111330674	PROTEIN_CODING	NW_019217940.1	
111330686	LOC111330686	uncharacterized LOC111330686	PROTEIN_CODING	NW_019217940.1	
111330690	LOC111330690	uncharacterized LOC111330690	PROTEIN_CODING	NW_019217940.1	
111330699	LOC111330699	collagen triple helix repeat-containing protein 1-like	PROTEIN_CODING	NW_019217940.1	
111330700	LOC111330700	uncharacterized LOC111330700	PROTEIN_CODING	NW_019217940.1	
111330728	LOC111330728	uncharacterized LOC111330728	PROTEIN_CODING	NW_019217941.1	
111330730	LOC111330730	uncharacterized LOC111330730	PROTEIN_CODING	NW_019217941.1	
111330737	LOC111330737	MAP3K12-binding inhibitory protein 1-like	PROTEIN_CODING	NW_019217784.1	
111330745	LOC111330745	uncharacterized skeletal organic matrix protein 5-like	PROTEIN_CODING	NW_019217790.1	
111330756	LOC111330756	uncharacterized LOC111330756	PROTEIN_CODING	NW_019217942.1	
111330757	LOC111330757	major facilitator superfamily domain-containing protein 4A-like	PROTEIN_CODING	NW_019217942.1	
111330777	LOC111330777	uncharacterized LOC111330777	PROTEIN_CODING	NW_019217942.1	
111330792	LOC111330792	uncharacterized LOC111330792	PROTEIN_CODING	NW_019217942.1	
111330837	LOC111330837	uncharacterized LOC111330837	PROTEIN_CODING	NW_019217943.1	
111330878	LOC111330878	uncharacterized LOC111330878	PROTEIN_CODING	NW_019217945.1	
111330884	LOC111330884	protein FAM133-like	PROTEIN_CODING	NW_019217945.1	
111330900	LOC111330900	GPALPP motifs-containing protein 1-like	PROTEIN_CODING	NW_019217790.1	
111330937	LOC111330937	uncharacterized LOC111330937	PROTEIN_CODING	NW_019217945.1	
111330938	LOC111330938	dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide-like	PROTEIN_CODING	NW_019217945.1	
111330968	LOC111330968	uncharacterized LOC111330968	PROTEIN_CODING	NW_019217946.1	
111330994	LOC111330994	elastin-like	PROTEIN_CODING	NW_019217946.1	
111331046	LOC111331046	uncharacterized LOC111331046	PROTEIN_CODING	NW_019217947.1	
111331049	LOC111331049	uncharacterized LOC111331049	PROTEIN_CODING	NW_019217948.1	
111331050	LOC111331050	mucin-5AC-like	PROTEIN_CODING	NW_019217948.1	
111331056	LOC111331056	basic proline-rich protein-like	PROTEIN_CODING	NW_019217948.1	
111331068	LOC111331068	uncharacterized LOC111331068	PROTEIN_CODING	NW_019217948.1	
111331089	LOC111331089	uncharacterized LOC111331089	PROTEIN_CODING	NW_019217948.1	
111331107	LOC111331107	uncharacterized LOC111331107	PROTEIN_CODING	NW_019217949.1	
111331109	LOC111331109	uncharacterized LOC111331109	PROTEIN_CODING	NW_019217949.1	
111331114	LOC111331114	uncharacterized LOC111331114	PROTEIN_CODING	NW_019217949.1	
111331130	LOC111331130	uncharacterized LOC111331130	PROTEIN_CODING	NW_019217949.1	
111331142	LOC111331142	uncharacterized LOC111331142	PROTEIN_CODING	NW_019217949.1	
111331163	LOC111331163	uncharacterized LOC111331163	PROTEIN_CODING	NW_019217950.1	
111331197	LOC111331197	RING finger protein 44-like	PROTEIN_CODING	NW_019217950.1	
111331240	LOC111331240	uncharacterized LOC111331240	PROTEIN_CODING	NW_019217790.1	
111331257	LOC111331257	uncharacterized LOC111331257	PROTEIN_CODING	NW_019217952.1	
111331263	LOC111331263	serine/arginine repetitive matrix protein 1-like	PROTEIN_CODING	NW_019217952.1	
111331281	LOC111331281	uncharacterized LOC111331281	PROTEIN_CODING	NW_019217952.1	
111331292	LOC111331292	transmembrane protein 134-like	PROTEIN_CODING	NW_019217952.1	
111331293	LOC111331293	proline-rich transmembrane protein 4-like	PROTEIN_CODING	NW_019217952.1	
111331311	LOC111331311	uncharacterized LOC111331311	PROTEIN_CODING	NW_019217952.1	
111331313	LOC111331313	uncharacterized LOC111331313	PROTEIN_CODING	NW_019217952.1	
111331331	LOC111331331	RIB43A-like with coiled-coils protein 2	PROTEIN_CODING	NW_019217953.1	
111331337	LOC111331337	neural cell adhesion molecule L1.1-like	PROTEIN_CODING	NW_019217953.1	
111331339	LOC111331339	clathrin heavy chain linker domain-containing protein 1-like	PROTEIN_CODING	NW_019217953.1	
111331343	LOC111331343	uncharacterized LOC111331343	PROTEIN_CODING	NW_019217953.1	
111331344	LOC111331344	uncharacterized LOC111331344	PROTEIN_CODING	NW_019217953.1	
111331349	LOC111331349	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2-like	PROTEIN_CODING	NW_019217953.1	
111331371	LOC111331371	protein transport protein Sec24-like CEF	PROTEIN_CODING	NW_019217954.1	
111331398	LOC111331398	sn1-specific diacylglycerol lipase alpha-like	PROTEIN_CODING	NW_019217954.1	
111331418	LOC111331418	galaxin-like	PROTEIN_CODING	NW_019217955.1	
111331433	LOC111331433	cingulin-like	PROTEIN_CODING	NW_019217955.1	
111331439	LOC111331439	RUN domain-containing protein 1-like	PROTEIN_CODING	NW_019217955.1	
111331471	LOC111331471	uncharacterized LOC111331471	PROTEIN_CODING	NW_019217956.1	
111331497	LOC111331497	arylsulfatase B-like	PROTEIN_CODING	NW_019217790.1	
111331516	LOC111331516	cell wall integrity and stress response component 2-like	PROTEIN_CODING	NW_019217790.1	
111331526	LOC111331526	chromobox protein homolog 3-like	PROTEIN_CODING	NW_019217957.1	
111331533	LOC111331533	uncharacterized protein CXorf65 homolog	PROTEIN_CODING	NW_019217790.1	
111331570	LOC111331570	uncharacterized LOC111331570	PROTEIN_CODING	NW_019217957.1	
111331574	LOC111331574	uncharacterized LOC111331574	PROTEIN_CODING	NW_019217957.1	
111331580	LOC111331580	uncharacterized LOC111331580	PROTEIN_CODING	NW_019217958.1	
111331613	LOC111331613	serine-rich adhesin for platelets-like	PROTEIN_CODING	NW_019217958.1	
111331624	LOC111331624	uncharacterized LOC111331624	PROTEIN_CODING	NW_019217958.1	
111331625	LOC111331625	uncharacterized LOC111331625	PROTEIN_CODING	NW_019217958.1	
111331646	LOC111331646	cilia- and flagella-associated protein 91-like	PROTEIN_CODING	NW_019217959.1	
111331707	LOC111331707	uncharacterized LOC111331707	PROTEIN_CODING	NW_019217960.1	
111331711	LOC111331711	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like	PROTEIN_CODING	NW_019217960.1	
111331722	LOC111331722	formin-D-like	PROTEIN_CODING	NW_019217961.1	
111331754	LOC111331754	uncharacterized LOC111331754	PROTEIN_CODING	NW_019217961.1	
111331782	LOC111331782	uncharacterized LOC111331782	PROTEIN_CODING	NW_019217962.1	
111331784	LOC111331784	arylsulfatase B-like	PROTEIN_CODING	NW_019217962.1	
111331794	LOC111331794	probable alpha-ketoglutarate-dependent hypophosphite dioxygenase	PROTEIN_CODING	NW_019217962.1	
111331798	LOC111331798	uncharacterized LOC111331798	PROTEIN_CODING	NW_019217962.1	
111331801	LOC111331801	serine-rich adhesin for platelets-like	PROTEIN_CODING	NW_019217962.1	
111331804	LOC111331804	immunoglobulin superfamily member 10-like	PROTEIN_CODING	NW_019217962.1	
111331826	LOC111331826	uncharacterized LOC111331826	PROTEIN_CODING	NW_019217963.1	
111331832	LOC111331832	uncharacterized LOC111331832	PROTEIN_CODING	NW_019217963.1	
111331846	LOC111331846	uncharacterized LOC111331846	PROTEIN_CODING	NW_019217963.1	
111331869	LOC111331869	coiled-coil domain-containing protein 170-like	PROTEIN_CODING	NW_019217964.1	
111331900	LOC111331900	uncharacterized LOC111331900	PROTEIN_CODING	NW_019217964.1	
111331901	LOC111331901	uncharacterized LOC111331901	PROTEIN_CODING	NW_019217964.1	
111331914	LOC111331914	synaptotagmin-16-like	PROTEIN_CODING	NW_019217964.1	
111331917	LOC111331917	hemicentin-1-like	PROTEIN_CODING	NW_019217964.1	
111331926	LOC111331926	methyltransferase-like protein 27	PROTEIN_CODING	NW_019217965.1	
111331953	LOC111331953	uncharacterized LOC111331953	PROTEIN_CODING	NW_019217965.1	
111331959	LOC111331959	lactadherin-like	PROTEIN_CODING	NW_019217790.1	
111331960	LOC111331960	RRP12-like protein	PROTEIN_CODING	NW_019217966.1	
111331980	LOC111331980	uncharacterized LOC111331980	PROTEIN_CODING	NW_019217966.1	
111332001	LOC111332001	uncharacterized LOC111332001	PROTEIN_CODING	NW_019217790.1	
111332026	LOC111332026	zinc finger protein 721-like	PROTEIN_CODING	NW_019217967.1	
111332028	LOC111332028	protein FAM69A-like	PROTEIN_CODING	NW_019217967.1	
111332029	LOC111332029	interferon-inducible double-stranded RNA-dependent protein kinase activator A-like	PROTEIN_CODING	NW_019217967.1	
111332059	LOC111332059	ubiquitin-conjugating enzyme E2 W-like	PROTEIN_CODING	NW_019217968.1	
111332064	LOC111332064	uncharacterized LOC111332064	PROTEIN_CODING	NW_019217968.1	
111332079	LOC111332079	uncharacterized LOC111332079	PROTEIN_CODING	NW_019217968.1	
111332084	LOC111332084	uncharacterized LOC111332084	PROTEIN_CODING	NW_019217968.1	
111332085	LOC111332085	uncharacterized LOC111332085	PROTEIN_CODING	NW_019217790.1	
111332087	LOC111332087	hemicentin-2-like	PROTEIN_CODING	NW_019217968.1	
111332101	LOC111332101	uncharacterized LOC111332101	PROTEIN_CODING	NW_019217969.1	
111332105	LOC111332105	N-acetylneuraminate 9-O-acetyltransferase-like	PROTEIN_CODING	NW_019217969.1	
111332108	LOC111332108	uncharacterized LOC111332108	PROTEIN_CODING	NW_019217969.1	
111332128	LOC111332128	uncharacterized LOC111332128	PROTEIN_CODING	NW_019217969.1	
111332131	LOC111332131	uncharacterized LOC111332131	PROTEIN_CODING	NW_019217969.1	
111332144	LOC111332144	uncharacterized LOC111332144	PROTEIN_CODING	NW_019217970.1	
111332149	LOC111332149	transmembrane protein 185A-like	PROTEIN_CODING	NW_019217970.1	
111332152	LOC111332152	uncharacterized LOC111332152	PROTEIN_CODING	NW_019217970.1	
111332160	LOC111332160	cilia- and flagella-associated protein 45-like	PROTEIN_CODING	NW_019217970.1	
111332173	LOC111332173	uncharacterized LOC111332173	PROTEIN_CODING	NW_019217790.1	
111332179	LOC111332179	uncharacterized LOC111332179	PROTEIN_CODING	NW_019217970.1	
111332185	LOC111332185	uncharacterized LOC111332185	PROTEIN_CODING	NW_019217970.1	
111332188	LOC111332188	uncharacterized LOC111332188	PROTEIN_CODING	NW_019217971.1	
111332198	LOC111332198	uncharacterized LOC111332198	PROTEIN_CODING	NW_019217971.1	
111332204	LOC111332204	uncharacterized LOC111332204	PROTEIN_CODING	NW_019217971.1	
111332205	LOC111332205	uncharacterized LOC111332205	PROTEIN_CODING	NW_019217971.1	
111332211	LOC111332211	uncharacterized LOC111332211	PROTEIN_CODING	NW_019217971.1	
111332214	LOC111332214	rRNA-processing protein EFG1-like	PROTEIN_CODING	NW_019217971.1	
111332217	LOC111332217	uncharacterized LOC111332217	PROTEIN_CODING	NW_019217971.1	
111332224	LOC111332224	uncharacterized LOC111332224	PROTEIN_CODING	NW_019217971.1	
111332232	LOC111332232	fibroin heavy chain-like	PROTEIN_CODING	NW_019217971.1	
111332267	LOC111332267	myosin-13-like	PROTEIN_CODING	NW_019217973.1	
111332337	LOC111332337	sushi repeat-containing protein SRPX2-like	PROTEIN_CODING	NW_019217974.1	
111332366	LOC111332366	uncharacterized LOC111332366	PROTEIN_CODING	NW_019217975.1	
111332390	LOC111332390	dentin sialophosphoprotein-like	PROTEIN_CODING	NW_019217976.1	
111332406	LOC111332406	uncharacterized LOC111332406	PROTEIN_CODING	NW_019217791.1	
